bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	amount	analyte_type	analyte_type_id	bcr_analyte_uuid	concentration	gel_image_file	normal_tumor_genotype_match	pcr_amplification_successful	spectrophotometer_method	well_number	ratio_28s_18s	rinvalue
TCGA-25-1633-01A	TCGA-25-1633-01A-01R	1.8	348 uL	RNA	R	83146764-198a-4f5c-aa23-05421cbe1bb5	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.4	9
TCGA-25-1633-01A	TCGA-25-1633-01A-01T	[Pending]	71 uL	Total RNA	T	16f7a296-9a9c-44f3-bf21-981daf6af47b	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-25-1633-01A	TCGA-25-1633-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	712441dc-3b0b-41c7-a5e3-1c8cbdea71fa	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-25-1633-10A	TCGA-25-1633-10A-01D	1.873547505	0 uL	DNA	D	7e6340c7-4e85-4cae-9201-3411940bdbc8	0.1669269 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-25-1633-10A	TCGA-25-1633-10A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	3dee9c66-b36b-4e89-b983-f7226a2be906	0.045 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-25-1633-10A	TCGA-25-1633-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	61dbb76f-9723-43af-9541-7b24008b4a9a	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1575-01A	TCGA-36-1575-01A-01D	1.9	115.67 uL	DNA	D	e8cdee35-7380-428c-8cbd-ef4e9af2b1df	0.13 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-36-1575-01A	TCGA-36-1575-01A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	6fb687ea-c9bf-4aa7-9b2e-76d61cee2710	0.091 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1575-01A	TCGA-36-1575-01A-01R	1.80	348 uL	RNA	R	9aaa127f-7ff4-45c1-983f-3b9c17c6c3f5	0.14 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.2	8.9
TCGA-36-1575-01A	TCGA-36-1575-01A-01T	[Pending]	85 uL	Total RNA	T	4ef565bb-f238-4598-8c8b-5fe0bebc8999	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1575-01A	TCGA-36-1575-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	51d38fd0-2535-4471-88b1-958324af6fba	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1575-10A	TCGA-36-1575-10A-01D	1.9	431.97 uL	DNA	D	4fcd9920-841e-4dcc-8cb9-e3ef0c8f32ff	0.13 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-36-1575-10A	TCGA-36-1575-10A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	b554e01f-ff79-48e6-80c6-a5f86d2a181c	0.084 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1575-10A	TCGA-36-1575-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	90f932af-6f8b-42fd-9f6d-740782f6d4e8	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-57-1583-01A	TCGA-57-1583-01A-01D	1.90	420 uL	DNA	D	d62f537e-f7d1-46d0-b48a-98bf7c6861e4	0.14 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-57-1583-01A	TCGA-57-1583-01A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	f3603f72-e6f1-4d44-a356-8a4587588079	0.099 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-57-1583-01A	TCGA-57-1583-01A-01R	1.80	527 uL	RNA	R	61f9f252-6319-4970-8720-9fd4bca79e74	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.3	8.8
TCGA-57-1583-01A	TCGA-57-1583-01A-01T	[Pending]	123 uL	Total RNA	T	e5f5bfd2-a923-4701-9347-b6c002a06125	.10 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-57-1583-01A	TCGA-57-1583-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	89be8249-dc1c-44f1-868d-9b1221fb7735	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-57-1583-11A	TCGA-57-1583-11A-01D	1.8	16.4 uL	DNA	D	ff669356-4db9-4686-904b-a6eb9a2c8188	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-57-1583-11A	TCGA-57-1583-11A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	c1d19db6-9177-41fd-9584-b87635f58e4d	0.115 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-57-1583-11A	TCGA-57-1583-11A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	1e27213b-d65a-4a66-b714-971d82fb2d7f	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1570-01A	TCGA-36-1570-01A-01D	1.9	303.67 uL	DNA	D	6fa313c0-dcca-4694-a47a-c5a5624f39c5	0.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-36-1570-01A	TCGA-36-1570-01A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	fda979f6-97bb-4d08-834b-d9eb4a9c6b85	0.129 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1570-01A	TCGA-36-1570-01A-01R	1.80	588 uL	RNA	R	daa42c88-29bd-4bc7-834d-816c26578e3d	0.14 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.5	9.6
TCGA-36-1570-01A	TCGA-36-1570-01A-01T	[Pending]	150 uL	Total RNA	T	90f528bb-4cda-4ffd-b59e-da36981090af	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1570-01A	TCGA-36-1570-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	b8c48dfe-3087-495c-adc3-b33e66e6e9e3	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1570-10A	TCGA-36-1570-10A-01D	1.9	352.97 uL	DNA	D	90f26087-260e-4f60-b75e-29352ce9aa44	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-36-1570-10A	TCGA-36-1570-10A-01G	[Pending]	173 uL	GenomePlex (Rubicon) Amplified DNA	G	698db648-7a44-4d24-8586-9c0507bfb94e	0.000 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-36-1570-10A	TCGA-36-1570-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	c1dc26af-2c24-4165-ad48-cdb6b9dc0d35	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-24-1474-01A	TCGA-24-1474-01A-01D	1.9	591.37 uL	DNA	D	e0e374df-2023-496b-a617-ed43d3a6dafa	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-24-1474-01A	TCGA-24-1474-01A-01R	1.8	662 uL	RNA	R	2e1ef287-ce35-4fc7-895c-a50b38928f36	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.5	9.1
TCGA-24-1474-01A	TCGA-24-1474-01A-01T	[Pending]	186 uL	Total RNA	T	1d17f0ed-c99a-4a89-b1e4-2974a20ddee1	.1 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-24-1474-01A	TCGA-24-1474-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	d2112f1f-25fc-42fd-9a50-690af1704251	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-24-1474-10A	TCGA-24-1474-10A-01D	1.9	293.67 uL	DNA	D	4c1dba15-a6b6-4220-b4f4-bddf531f25f2	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-24-1474-10A	TCGA-24-1474-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	348f9396-2f4f-46c5-895b-567b491d43ef	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-24-1616-01A	TCGA-24-1616-01A-01D	1.9	97.37 uL	DNA	D	9bae1aac-4685-42bc-ae55-2eaeba47dbe2	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-24-1616-01A	TCGA-24-1616-01A-01R	1.8	422.2 uL	RNA	R	ba4cc7ff-3f7e-414b-90bc-6c35a3f50dc8	0.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.5	8.8
TCGA-24-1616-01A	TCGA-24-1616-01A-01T	[Pending]	90 uL	Total RNA	T	ba462f40-cd19-4aee-8c1d-9c6708cdb1eb	.10 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-24-1616-01A	TCGA-24-1616-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	1bb979a5-ba13-4127-be0b-258aba09a265	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-24-1616-10A	TCGA-24-1616-10A-01D	1.9	228.67 uL	DNA	D	65e0f69f-5da7-492a-a3bf-cfda0f0030f9	0.17 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-24-1616-10A	TCGA-24-1616-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	0aa7e7ae-b596-4691-b113-4adc7634d345	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-24-1604-01A	TCGA-24-1604-01A-01D	1.9	598.37 uL	DNA	D	301aec61-4202-4977-8847-7203c3508178	0.14 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-24-1604-01A	TCGA-24-1604-01A-01R	1.80	428 uL	RNA	R	8983b9c7-d0a3-45c3-98fb-718e85d6e672	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	0.9	9.1
TCGA-24-1604-01A	TCGA-24-1604-01A-01T	[Pending]	93 uL	Total RNA	T	76c83d57-4790-4c81-9887-2ae1681fca9c	.10 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-24-1604-01A	TCGA-24-1604-01A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	00c7ea1f-38e8-4e5a-b02a-bfd2a8ec698e	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-24-1604-10A	TCGA-24-1604-10A-01D	1.9	257.67 uL	DNA	D	68236d2f-95fb-44ea-b2e4-341f952dd11f	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-24-1604-10A	TCGA-24-1604-10A-01W	[Pending]	0 uL	Repli-G (Qiagen) DNA	W	947065c6-acb9-4118-85f0-b8c717005878	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-61-1730-01A	TCGA-61-1730-01A-01D	1.9	607.67 uL	DNA	D	3d91bf1a-cadb-4a8d-94ea-0940a50c3050	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-61-1730-01A	TCGA-61-1730-01A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	5e1f79a6-3dae-458a-8aab-ed72ca9b0a40	0.143 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-61-1730-01A	TCGA-61-1730-01A-01R	1.8	376 uL	RNA	R	4a03606a-7a40-4fcd-b1e8-6ba9984ea04e	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.0	8.6
TCGA-61-1730-01A	TCGA-61-1730-01A-01T	[Pending]	92 uL	Total RNA	T	3da13942-0103-4726-9907-8adbbaa6e881	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-61-1730-01A	TCGA-61-1730-01A-01W	[Pending]	1020 uL	Repli-G (Qiagen) DNA	W	ebbadb21-17eb-49df-b6f4-5747002fde75	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-61-1730-11A	TCGA-61-1730-11A-01D	1.9	199.97 uL	DNA	D	c6276e74-f4d6-427a-a6aa-f6be9c5afb97	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-61-1730-11A	TCGA-61-1730-11A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	64c0e080-f1b3-4f28-a0b2-95c2ffa192b0	0.077 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-61-1730-11A	TCGA-61-1730-11A-01W	[Pending]	1020 uL	Repli-G (Qiagen) DNA	W	a746382b-492a-4f34-ab62-ca8a050add38	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-61-1738-01A	TCGA-61-1738-01A-01D	1.9	387.67 uL	DNA	D	3701b1f1-98fe-4f27-9cf4-6e6cb3b8026d	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-61-1738-01A	TCGA-61-1738-01A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	c5f259c5-4528-42d0-857c-3fc0dafc5a93	0.095 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-61-1738-01A	TCGA-61-1738-01A-01R	1.8	412 uL	RNA	R	a77abfa5-9177-4ec4-aee1-4e55566ac926	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.2	7.4
TCGA-61-1738-01A	TCGA-61-1738-01A-01T	[Pending]	113 uL	Total RNA	T	3c624550-14e4-4210-89df-ec24207e9a5f	.1 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-61-1738-01A	TCGA-61-1738-01A-01W	[Pending]	1020 uL	Repli-G (Qiagen) DNA	W	e010426c-59f3-46fa-b2de-d40a2a0ba41a	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-61-1738-11A	TCGA-61-1738-11A-01D	1.9	194.97 uL	DNA	D	95fc6b90-54f5-4fd5-b653-05d866e980aa	0.16 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-61-1738-11A	TCGA-61-1738-11A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	d68f4f0d-1bc8-41d5-8f4d-9f0cb39d894c	0.079 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-61-1738-11A	TCGA-61-1738-11A-01W	[Pending]	1020 uL	Repli-G (Qiagen) DNA	W	f5e9c471-faeb-4b56-9a4e-c17661246078	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-30-1855-01A	TCGA-30-1855-01A-01D	1.9	241.67 uL	DNA	D	fd6b4a16-36a4-4658-aa51-622f996e4405	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-30-1855-01A	TCGA-30-1855-01A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	e588ed6f-ddc8-463a-a47b-93517b335f2a	0.127 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-30-1855-01A	TCGA-30-1855-01A-01R	1.8	339 uL	RNA	R	1f2a2f72-e682-4b0b-af0a-06f6cf4f413d	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	1.4	7.8
TCGA-30-1855-01A	TCGA-30-1855-01A-01T	[Pending]	69 uL	Total RNA	T	c6aa592e-0005-438f-b2f0-5440563b3ba4	0.100 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-30-1855-01A	TCGA-30-1855-01A-01W	[Pending]	1020 uL	Repli-G (Qiagen) DNA	W	e4dc993f-ce09-4fd7-a6e5-70b57872f1c7	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-30-1855-10A	TCGA-30-1855-10A-01D	1.9	110.97000000000001 uL	DNA	D	73b9b973-56ad-46dd-b732-d8019fcd8f9f	0.15 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	Pass	YES	UV Spec	[]	null	null
TCGA-30-1855-10A	TCGA-30-1855-10A-01G	[Pending]	0 uL	GenomePlex (Rubicon) Amplified DNA	G	ae7edb2a-b0ea-47ae-b650-0e78d7734ffc	0.129 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
TCGA-30-1855-10A	TCGA-30-1855-10A-01W	[Pending]	1020 uL	Repli-G (Qiagen) DNA	W	87e5263f-9758-48cc-95fd-3afd39eb94b3	.5 ug/uL	https://atlas.intgen.org/bcr-data/Molecular%20Analyte%20Data/	null	null	UV Spec	[]	null	null
